TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-105299,PO07130,ABAWD months dropped upon case reassessment when member leaves household,SOL,Income Support CGISS,,,"*Issue Description:*
The Time Limit tab in Income Support does not display Able-Bodied Adults Without Dependents (ABAWD) months correctly after a case reassessment when a household member leaves. This occurs because the system incorrectly resets the countable months to zero for the remaining members, potentially allowing individuals to exceed their three-month eligibility limit.
*User Interface Impact:* No
*Prerequisites:*
# Log in as a system administrator.
# Navigate to Properties under Application Data in the shortcuts panel.
# Search for the property ?curam.isproduct.cgiss.abawd.applicable?.
# Update the property?s value to true.
# Publish the changes.

*Steps to Reproduce:*
# Log in as an Income Support caseworker. 
# Register a person aged 40.
# Submit an application dated 1/1/2026 for this person and another person aged 35, with a spouse relationship, no income, and a permanent living arrangement.
# In the Income Support application, add Head of Household evidence for Food Assistance. Add Household Meal Group and Meal Group Member evidence.
# Add Work Registration evidence as Registered for Food Assistance with a start date of 1/1/2026 for both individuals.
# Check eligibility for the application.## Both individuals are eligible for three countable months from 1/1/2026 to 3/31/2026.

# Apply changes to evidence in the application and authorize the program in the Income Support integrated case.## The Food Assistance program is created.

# Activate the program and navigate to the Determinations tab in Food Assistance.## Determinations are displayed for the period 1/1/2026 to 3/31/2026.

# In the Income Support integrated case, remove the second household member (spouse) after one countable month, that is, set the end date for the Household Member evidence for the second person to 2/1/2026. Apply changes to evidence.
# Reassess the Food Assistance case.
# Navigate to the Determinations tab and verify the results.
# Determinations should display eligibility for the following periods:## 1/1/2026?1/31/2026: Eligible ? both persons
## 2/1/2026?3/31/2026: Eligible ? first person only

# In the Income Support integrated case, validate the Time Limit tab: it should display three countable months for the first person and one countable month for the second person.

*Resolution:*
The Time Limit tab in Income Support now correctly displays the number of ABAWD countable months for each household member after a reassessment when a member leaves the household. The system now accurately preserves and reflects the eligibility periods and countable months for each individual, ensuring that household composition changes do not incorrectly reset time limit data.
"
SPM-124275,,Remove the jar files (including batik) previously used for image generation from the Cúram deliverable,Third Party Updates,,,,"A number of older JAR files that were no longer used in the Cúram product have been removed from the CuramCDEJ deliverable. The ?CuramCDEJ/lib/imageGen? directory and all of the JAR files contained within it have been removed. 
The following JAR files have been removed:
* batik-awt-util.jar
* batik-bridge.jar
* batik-css.jar
* batik-dom.jar
* batik-ext.jar
* batik-extension.jar
* batik-gui-util.jar
* batik-gvt.jar
* batik-parser.jar
* batik-script.jar
* batik-svg-dom.jar
* batik-svggen.jar
* batik-swing.jar
* batik-transcoder.jar
* batik-util.jar
* batik-xml.jar
* js.jar
* pdf-transcoder.jar

It is recommended that you update or remove any references in custom scripts and other artifacts to the JAR files that are specified above.
"
SPM-127388,,Remove deprecated methods in LinkTag.java for rendering action menus,Code Removal,,,,"The code artifacts associated with rendering an action menu in LinkTag.java that were deprecated in Cúram 8.1.0.0 have now been removed. All of the references in the Cúram documentation have also been removed.
* curam.omega3.taglib.flow.LinkTag.doGenerateLink()
* curam.omega3.taglib.flow.LinkTag.setListRowAction()
* curam.omega3.taglib.flow.LinkTag.setPageLevelAction()
* curam.omega3.taglib.flow.LinkTag.getListRowAction()
* curam.omega3.taglib.flow.LinkTag.getPageLevelAction()
* curam.omega3.taglib.flow.LinkTag.listRowAction
* curam.omega3.taglib.flow.LinkTag.pageLevelAction "
SPM-129102,,Update to a later version of Eclipse and associated Tomcat Plugin,Third Party Updates,,,,"Eclipse is an integrated development environment (IDE) that can be used for Cúram development. It contains a base workspace and an extensible plug-in system for customizing the environment. 

Apache Tomcat® is a free and open-source implementation of the Jakarta Servlet, Jakarta Expression Language, and WebSocket technologies. Tomcat provides a 'pure Java' HTTP web server environment in which Java code can run.

The versions of Eclipse and Tomcat certified for use in Cúram development have been updated as follows:
* Eclipse updated from version 4.18.0 to 2026?03 R and future micro/patch releases and qualifier builds.
* Apache Tomcat updated from version 9.0.99 to 9.0.117.
* Tomcat Eclipse Plugin - updated from 9.1.5 to 9.1.8.

"
SPM-129726,,Introduce support for Oracle AI Database 26ai,Third Party Updates,,,,"Cúram has now certified support for the Oracle 26ai database. Oracle AI Database 26ai is the next long-term support release of Oracle AI Database. This means that for the Cúram 8.2.2.0 release, the following Oracle database versions are supported:
# Oracle Database 19c 
# Oracle AI Database 26ai

As part of the introduction of this support, the Oracle driver for JDBC shipped as part of the Server Development Environment for Java (SDEJ) has been updated. The ojdbc8 JDBC driver version has been updated from 19.3.0.0.0 to 23.26.1.0.0. As a result of this driver upgrade, the Oracle connection caching has been switched from the deprecated Implicit Connection Cache (ICC) approach to Oracle Universal Connection Pool (UCP). A new JAR file, ucp.jar, has been included in the deliverable for this purpose. 
As part of this change, the following files have been updated in the SDEJ deliverable:
* CuramSDEJdriversojdbc8.jar - The version of this JAR file has been updated.
* CuramSDEJdriversucp.jar - A new JAR file has been added.

Note that any references in custom scripts and other artifacts to the ?ojdbc8? JAR file may need to be updated to include a reference to the new 'ucp.jar? file as specified above.
"
SPM-130842,DT037290,Date input field missing mandatory ARIA attribute(s): 'aria-expanded' and 'aria-controls',CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
Date input fields do not include the ARIA attributes 'aria-expanded' and 'aria-controls'. This creates accessibility issues for users who rely on assistive technologies, such as screen readers. Specifically, screen readers do not announce whether the date picker is expanded or collapsed, and the relationship between the input and the calendar widget is not clearly defined.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Click Person under Search in the shortcuts menu.
# With JAWS turned on, navigate to the Date of Birth field.
# Issue: JAWS does not announce the date picker's state (expanded or collapsed). In addition, the aria-controls attribute was not present in the date picker combo box.

*Resolution:*
The ARIA attributes 'aria-expanded' and 'aria-controls' are added to the date input component. Expandable elements now correctly indicate their state to assistive technologies, and interactive controls are properly associated with the calendar content that they affect. This ensures a more accessible experience for screen reader users.
"
SPM-136388,,REST infrastructure not handling zero monetary values correctly for locales that use comma separator,CEF,Technical Services,Rest,Infrastructure,"*Issue Description:*
In multi-locale environments that use a comma as the decimal separator (for example, German, French, and other European locales), REST API responses containing zero monetary amounts can result in application errors. This occurs because zero monetary values are not formatted using JSON-standard decimal notation, causing parsing failures in client applications.
*User Interface Impact:* No
*Steps to Reproduce:*
# Sign up as a new user and, once logged in, submit an application through the Universal Access web application, completing all script steps using default values.
# Log in to the caseworker application as a caseworker. 
# Search for the registered person and open the Person tab.
# Navigate to the Care and Protection tab.
# Open the product delivery that was created on foot of the application submission. This should be in an open state.
# From the Financials tab: Select Certification from the sidebar. Add a certification covering a date range from a point in the past through to three months in the future.
# On the Determinations tab, reassess the case and confirm that the individual is eligible and that payments are due.
# From the Financials tab, select Transactions and issue a payment. Ensure the payment is successfully issued.
# Log out and return to the Universal Access web application.
# Log in as the registered citizen.
# From the application dashboard, observe the payments displayed.
# Using the language selector in the application footer, change the language to Deutsch (German).
# Issue: An application error is encountered after changing the language.

*Resolution:*
REST API responses now correctly format zero monetary values using JSON-standard decimal notation across all supported locales, preventing application errors when users switch languages. "
SPM-136547,DT037079,"Build failures when running build targets together due to class loading issues ",CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
In Cúram development environments, automated builds could fail when multiple Ant build targets using dom4j XML libraries were run together in a single invocation, stopping with a {{DOMException: org.dom4j.DocumentFactory cannot be cast to org.dom4j.DocumentFactory}} error. This prevented automated build pipelines from completing successfully.
*User Interface Impact:* No
*Steps to Reproduce:*
# Set up a Cúram development environment.
# Run a single build command chaining multiple dom4j-dependent targets, e.g.: {{./build.sh clean client external-client -Dapp=UniversalAccess}}
# Issue: The build fails with the {{DocumentFactory}} casting error.

*Resolution:*
A class loading collision has been resolved so that build scripts running multiple dom4j-dependent targets in a single invocation now complete successfully without the casting error.
"
SPM-137140,DT037092,IEG modal dialog opens with reduced height when starting a new application,ENT,Common Intake,,,"*Issue Description:*
In Cúram, when multiple application forms are configured, selecting an initial application form results in the subsequent Intelligent Evidence Gathering (IEG) modal dialog being displayed with a reduced height. This height is inconsistent with the larger modal size displayed when using the Resume Application action on the person pending application form page, leading to unnecessary scrolling for caseworkers. 
*User Interface Impact:* Yes
*Prerequisites: *
# Log in as an administrator.
# Navigate to Internal Applications below Universal Access in the shortcuts panel.
# Click the New page-level action and enter the following details:## Name: test application
## Schema: test
## Question script: test
## Submit On Completion Only: yes

# Then add a new program: Insurance Affordability.

*Steps to Reproduce:*
# Log in as an Insurance Affordability caseworker.
# Register a person and open their home page.
# Click New Application, choose Health Care Application, and click Next.
# Observe the modal window size when the IEG form opens.
# Issue: The IEG form opens in a modal dialog with a reduced height.

*Resolution:*
The modal dialog for the IEG form now opens at the correct full size when starting a new application. This ensures consistency across the application, reduces the need for scrolling, and improves the user experience for caseworkers.
"
SPM-139093,DT037188,JAWS and NVDA screen readers read out 'blank' text on the Evidence workspace type tab,Accessibility,,,,"*Issue Description:*
Screen reader users experience an accessibility issue in which the focus lands on an empty field between the page-level and tab actions. As a result, the screen reader announces the text as ?blank.?
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Enable a screen reader.
# Log in as an Income Support caseworker.
# Register a new person and submit an Income Support Application.
# Navigate to the Evidence Dashboard and create a new Employment Offer.
# Open the evidence and use the Tab key to move past the Validate button to reach the Evidence tab.
# Issue: After the Validate button, the screen reader focus goes to an empty field rather than directly to the Evidence tab, causing the screen reader to announce the text ?blank.?

*Scenario 2 (Generic):*
# Enable a screen reader.
# Log in as a caseworker.
# Register a new person and create an integrated case.
# Navigate to the Evidence Dashboard and create a new Address.
# Open the evidence and use the Tab key to move past the Validate button to reach the Evidence tab.
# Issue: After the Validate button, the screen reader focus goes to an empty field rather than directly to the Evidence tab, causing the screen reader to announce the text ?blank.?

*Resolution:*
When a screen reader user navigates from the page-level action, the focus now moves directly to the tab action, preventing the screen reader from announcing the text ?blank.? This issue has been addressed across all affected pages in the application, improving accessibility and navigation for users.
"
